rank,members,name,url,category,city,description
107,45521,"Мастерская СВАРОГ (славянские обереги, браслеты)",https://vk.com/club101521599,Ремонтная мастерская,Омск,"Материалы данной группы  не являются публичным призывом к выполнению каких-либо действий. Мы крайне осуждаем любые формы экстремизма. Наше дело - это изготовление изделий, мы не несем никакой идеологии.   ПРИНИМАЕМ ЗАКАЗЫ НА ИЗГОТОВЛЕНИЕ ИЗДЕЛИЙ. ЛЮБЫЕ ПОДВЕСКИ, СЕРЬГИ, ОБРУЧАЛЬНЫЕ КОЛЬЦА, КОЖАНЫЕ Ш"
108,45507,"Интерьер и Декор для дома ""Kristy Home""",https://vk.com/kristyhome,Товары для дома,,"Подписывайтесь на сообщество, чтобы быть в курсе акций, скидок и новинок Kristy Home, а также, чтобы участвовать в наших конкурсах 😘  В Kristy Home вы найдете все, чтобы преобразить свой дом и сделать его уютнее по доступным ценам.  Как оформить заказ?  ◽️Пишите в Личные сообщения https://vk.me/kris"
109,45506,M.A SHOP,https://vk.com/m.a.shop96,Товары для дома,Москва,"❤️Наш адрес: Г. Москва, 14-ый км МКАД, ул. Верхние поля. Рынок Садовод. Корпус А - 1 этаж - Ряд Б - Место 27 . Заказ принимать через Ватсап: +79067899696"
110,45491,Karnaval 29.рф Цветы & Шары,https://vk.com/shary29,Цветы,Архангельск,"Цветы & Шары Архангельск. БЕСПЛАТНАЯ доставка цветов. - Выполняем более 1150 доставок букетов в месяц. Круглосуточно 24/7. Заказ роз по отличной цене.   ✅ Заказать букет 👉 vk.me/shary29  - Более 3650 отзывов о наших букетах! - Yandex 5,0. Google 4,9.  2Гис 5,0. Сеть магазинов цветов и воздушных шаро"
111,45446,ТС Петр&скй,https://vk.com/retail29,"Продукты питания, напитки",Архангельск,"«Петр&скй» — сеть продуктовых магазинов, расположенная в Архангельске, Северодвинске и Новодвинске. Каждый день мы открываем двери для 60 тысяч покупателей.   Принципы нашей компании всегда остаются незыблемыми — это качественная и свежая продукция, широкий ассортимент и комфорт покупателей.  Гордос"
112,45433,ИДЁМ В ПОХОД! - пешие походы в горы,https://vk.com/idem_pohod,Активный отдых,,"Номер заявления Роскомнадзор № 5337738804.  Если вы любите активный отдых, природу, бывать в новых местах, жить в палатке, сидеть под звездами у догорающего костра в приятной компании - значит, вы любите походы. Мы -  Клуб любителей активного отдыха в горах : организовываем и водим туристические пеш"
113,45373,Мастерская Santaniel,https://vk.com/santani,Художник,Москва,"В этой группе представлены авторские куклы Santani.  ОБЯЗАТЕЛЕН к прочтению раздел ""О НАШЕЙ ГРУППЕ, ПРАВИЛА"""
114,45368,Юлия Имукина | ВЯЗАНИЕ спицами МК «Свяжи сама»,https://vk.com/svyazhi_sama,Творчество,Краснодар,"Свяжете с 1-го раза Свитер/Платье/Кардиган Мастер классы для новичков Pdf 8-10 листов + подобные видео урок.  № 4860837687  Страница "" Юлия Имукина | ВЯЗАНИЕ спицами МК «Свяжи сама» "" включена в перечень персональных страниц, объем аудитории каждой из которых составляет более десяти тысяч пользовате"
115,45317,Стельки для обуви,https://vk.com/m1_insoles,Творчество,Москва,"Стельки для обуви для всей семьи Детские, Женские, Мужские."
116,45315,Салфетки крючком: вязание с Ольгой Смирновой,https://vk.com/club67380892,Творчество,Изобильный,"Добро пожаловать в уютное сообщество вязальщиц (ков), где каждый может создавать изумительно красивые салфетки крючком с помощью наших подробных схем и бесплатных видео мастер классов!   Я предлагаю вам схемы самых красивых салфеток, найденные в свободном доступе в интернете, а те, которые меня особ"
117,45272,Маркет ЖКХ,https://vk.com/clubmarketgkh,Строительные и ремонтные работы,Пермь,Услуги и товары для многоквартирных домов.   Капитальный ремонт по самым современным и эффективным технологиям с гарантией 15 лет.  Рассрочка до 24 месяцев.   Сотрудничество/реклама: 2039333@mail.ru
118,45242,Кулинарная мастерская Игоря Шугаева,https://vk.com/thechefru,Кулинария,Санкт-Петербург,"Ну что, давайте по-честному — всегда ли у вас вдохновение на кухне и все ли сохраненные рецепты в закладках получаются?! Меня зовут Игорь Шугаев, я профессиональный повар и основатель онлайн школы для кондитеров The-Chef.ru И в этом сообществе вы сами того не заметите, как лишитесь этих проблем:)  С"
119,45219,Из Уфы на выходные | Tуризм | Экскурсии | Сплавы,https://vk.com/ufaweekend,Активный отдых,Уфа,"Планируете интересные и активные выходные на Южном Урале и в Республике Башкортостан?  Вам стоит обратить внимание на наши туры! Добро пожаловать в сообщество туристической компании «Из Уфы на выходные», где мы предлагаем широкий выбор туристических маршрутов и экскурсий, чтобы познакомиться с удиви"
120,45129,Exclusive shoes ОБУВЬ ОПТОМ ТЯК Москва,https://vk.com/arazopt,"Одежда, обувь",Москва,"Залог успеха: Стабильность и качество работы !!! Заказы принимаются через  личные сообщения. WhatsApp,  +7 915 466-30-30 Телеграм https://t.me/araz_shoes_sadovod Работаем только по ПОЛНОЙ предоплате."
121,45098,Автобусные туры по России | #ПоРоссиисРюкзаком,https://vk.com/backpackerrussia,"Туры, экскурсии",Белгород,"Автобусные туры из: Москвы, Белгорода, Губкина, Старого Оскола, Воронежа.   -324 авторских маршрута по России. -Больше 10 000 довольных туристов!  ▫️Мы делаем ХОРОШИЕ ТУРЫ.  ▫️Ездим на НОВЫХ автобусах.  ▫️Самые крутые и насыщенные программы (по сравнению с аналогичными у коллег)  ▫️Наши туры для тех"
122,44791,SERGINNETTI | Cеть магазинов женской одежды,https://vk.com/serginnetti,"Стиль, мода",Казань,"Доставка по всей России и бесплатная примерка перед покупкой на сайте serginnetti.ru.  Более 100 магазинов.  SERGINNETTI уже более 20 лет позволяет девушкам чувствовать себя особенными и уверенными в себе.   SERGINNETTI - стиль, вдохновляющий проявить свою индивидуальность.  Наши покупатели – активн"
123,44643,Путевка Маркет — туристический дискаунтер,https://vk.com/putevka.sale,Туристическое агентство,Москва,"Все, что вы хотели от путешествий, но по меньшей цене!   Задать вопрос / Подбор тура: https://vk.cc/bZASXu Супербот горящих туров в Telegram: https://vk.cc/cLPiEB Отзывы о нас:  https://vk.cc/bZZYGB Подписка на сообщество https://vk.cc/bZZYUU Горящие туры: https://vk.cc/bZKztG Акционные авиабилеты: "
124,44626,"Обувь Только Оптом | ТЦ ""Салют"" 3-4-20",https://vk.com/obuv_optom_3_4_20,"Стиль, одежда, обувь",Москва,"▪️По заказам вы можете написать на What`s app или ТЕЛЕГРАММ - +7-926-586-05-53  Наш ТЕЛЕГРАММ канал:  https://t.me/krossovokopt  ▪ Работаем ОПТОМ ▪ Самовывоз от 1 коробки. для интернет-магазинов, посредников и вообще всех!  ▪️Время работы с 08:00 до 19:00 без выходных  ТЦ САЛЮТ 3-4-20"
125,44611,Декоративные кролики и другие породы,https://vk.com/krolik_szs,Домашние и дикие животные,,Группа для владельцев и заводчиков породных декоративных кроликов и не только.
126,44584,Бренд Masha Goryacheva | Женская одежда,https://vk.com/mashagoryachevashop,"Одежда, обувь",Самара,"MASHA GORYACHEVA — российский бренд одежды с собственным производством полного цикла.   Более 18 лет мы создаем образы в различных стилях для женщин с 38 по 54 размер!  Ежедневно сотни посылок отправляются по разным городам и странам, онлайн-стилисты бренда подберут модель и размер с идеальной посад"
127,44575,ЭКТОНИКА,https://vk.com/ektonika,"Народная музыка, фолк",Ижевск,"Эктоника - проект по популяризации и продвижению удмуртской культуры.  Эктоника - это традиционная Удмуртская культура в современной обработке. Оригинальный и уникальный проект, который не имеет аналогов в России.   Дискотека Эктоника: Выездной проект ""Эктоника"" в вашем клубе. Диджеи, ведущий и наст"
128,44544,Доставка цветов в Кирове Цветы Мечты,https://vk.com/dream_flowers43,Цветы,Киров,"Флористический салон ""Цветы Мечты"" 🚚 Доставка по Кирову в течении 1 часа!  🏪 ул. Ивана Попова 93 ☎️ 73-00-20 🏪 ул. Московская 185 ☎️ 26-70-30 🏪 Октябрьский проспект 157 ☎️ 73-30-60 📱 WhatsApp/Telegram +7(922)941-00-20 Заявление РКН  № 4942705294"
129,44519,Kerasys — Корейская косметика для волос,https://vk.com/kerasys_russia_official,"Парфюмерия, косметика",Москва,"Корейская косметика Kerasys — это профессиональный уход за волосами у вас дома.   Благодаря идеальному сочетанию инновационных технологий и натуральных экстрактов, Kerasys эффективно восстанавливает поврежденные, ослабленные волосы, возвращая им силу, здоровье и красоту.  Подписывайтесь на новости, "
130,44453,Вяжем игрушки крючком. Создаем мастер-классы,https://vk.com/toyfabric,Творчество,Санкт-Петербург,"Ты любишь вязать игрушки и мечтаешь создавать свои мастер-классы? Добро пожаловать в тёплое пространство, где твои идеи оживут, если ты по-настоящему хочешь ! 🧸  Здесь тебя ждут:  🧶 вдохновение и уют, 📷 полезные уроки по вязанию игрушек, 💬 прямые эфиры и живое общение, ✨ поддержка и шаги к твоему пе"
131,44426,Благотворительная мастерская 'Дома слепоглухих',https://vk.com/puchkovomaster,Благотворительная организация,Троицк,"🔅 Ручная работа: подарочные наборы, игрушки, сувениры.  🔅 Дари подарки в самое ❤ 🔅 Ваша покупка — это не просто вещь, а вклад в реальную помощь. 🔅 Мастерская при Доме слепоглухих в Пучково. 🤝 Ссылка на благотворительный магазин ДСГ https://www.domsg.ru/catalog/  Адрес: 1А, д.Пучково, поселение Перво"
132,44317,CoCoBox Магазин косметики и украшений,https://vk.com/coco_box,"Парфюмерия, косметика",Липецк,▫️Самый популярный магазин в Tik-Tok✌🏻 ▫️Косметика и украшения высшего качества 👍🏻 ▫️Готовые подарочные наборы 🤌🏻  Магазин активно работает с 2021 года!  Более 5000 отправленных заказов по всей России! Вкладываем в наборы не только косметику и украшения но и душу 🤍  Организация💳 ИП Фурсова Валерия Д
133,44174,Горящие туры ТЛ-ТУР. Самара.Тольятти. Ульяновск.,https://vk.com/tl_tur,"Туры, экскурсии",Тольятти,"Лучшие цены на путевки в Турцию, Египет, ОАЭ, Индию с вылетом из Самары.  ТЛ-ТУР - туристическое агентство работающее с июня 2002 года. Нам уже более 20 лет! У нас несколько собственных офисов в Тольятти и Самаре, а также более 3 представительств в Сызрани, Ульяновске и Димитровграде. Возможно onlin"
134,44160,ОДЕЖДА И ОБУВЬ SNEAKERSHOT,https://vk.com/club212574882,Творчество,Красноярск,"Магазин спортивной одежды и обуви Наш адреса:  г.Красноярск , ул.Партизана Железняка 50 г.Красноярск , ул. Проспект Свободный 44"
135,44093,МИР ПАРФЮМА И КОСМЕТИКИ,https://vk.com/club173719693,Другие товары,Москва,"Магазин парфюмерии и косметики. Мы находимся г. Москва, УТК Садовод, Корпус Б ЭТАЖ 2 РИЯД :Д:39 Телефон WhatsApp 89264497000  Ибрагим."
136,44011,Рыбалка в Тюмени (открытая группа для рыболовов),https://vk.com/ribalka72ru,Рыбалка,Тюмень,"Эта группа для активных людей увлеченных рыбалкой и всем, что с ней связано. По вопросам рекламы обращаться к [id121082454|Администратору группы] Ни хвоста Вам, Ни чешуи!"
137,44010,Ювелирная Мастерская АлексФокс (AlexFox),https://vk.com/alexfoxjewelry,Ювелирные изделия,Санкт-Петербург,"Добро пожаловать в нашу Ювелирную мастерскую АлексФокс (AlexFox) — место, где каждое украшение создано с любовью и вниманием к деталям.  Наша мастерская сочетает в себе традиционные техники и современные тренды, благодаря чему мы создаем уникальные украшения, которые вызывают восхищение и интерес.  "
138,43990,Пальто и плащи MiLtex,https://vk.com/miltex,"Одежда, обувь",Санкт-Петербург,"Актуальное наличие и цены в нашем интернет-магазине: www.miltex.su 8 (812) 331-78-36 +7-952-389-25-66  Адрес магазина при фабрике: Санкт-Петербург, ул. Ворошилова, дом 2, Деловой Центр ""ОХТА"", проходная на улицу, БЦ СИГНАЛ, 1 этаж, 2 помещение.  Для входа в центр требуется документ, удостоверяющий л"
139,43975,Школа нутрициологии (проект PRO-ТЕЛО),https://vk.com/club207743430,Обучающие курсы,,"ОЛЬГА ЗЕМЛЯКОВА   ✅ практикующий нутрициолог; ✅ автор трех книг по питанию в издательстве ""ЭКСМО""; ✅ основатель Международной Онлайн Школы Интегративной Нутрициологии (МОШИН); ✅ член ассоциации нутрициологов России; ✅ автор ряда публикаций в СМИ."
140,43967,Авторская одежда | Дина Ханнанова,https://vk.com/hannanovadina,"Одежда, обувь",Нижний Новгород,"Сначала родилась мечта - создавать особенную одежду «с характером» , для особенных девушек и женщин:   • одежду, транслирующую благородство, женственность, элегантность, магнетизм и одновременно явный характер; • одежду, которая не будет «съедать» мою природу и личность, а поможет выразить то, что "
141,43900,Рыба Астраханская,https://vk.com/30rybka,Другие товары,Астрахань,РЫБА АСТРАХАНСКАЯ   🐟Отборная рыбка от лучших астраханских рыбаков  ⚓️Солим по старинному дедовскому рецепту  💨Вялим на свежем воздухе  ✈Доставка от 2 дней  💯Оправдаем ожидания  🎁Дарим вкусный подарок к первому заказу   Чем наша рыбка отличается от магазинной? Читайте в отзывах от наших клиентов👉🏻 h
142,43894,Armor Club - магазин одежды Under Armour,https://vk.com/under_armour_kazan,Спортивная одежда и обувь,Казань,"🛡 Добро пожаловать в Armor Club — специализированный магазин оригинальной спортивной одежды и обуви бренда Under Armour в Казани с доставкой по всей России.  🎯 Наша миссия - развивать спортивную культуру в России через технологии и качество. • Мы верим, что форма может усиливать результат, а не огра"
143,43860,"Интернет-магазин ""Надом Мебель Киров""",https://vk.com/magazinvesna43,Мебель,Киров,"ДОСТАВКА МЕБЕЛИ ПО РОССИИ: 🚚 Автотранспорт: Киров и Кировская обл., Йошкар-Ола, Мураши, Кирс, НАРЬЯН-МАР, КОМИ(Ухта, Сыктывкар, Пажга, Вухтым, Объячево, Визинга, Емва, Сосногорск, Летка, Эжва, Водный, Ярега, Синдор) 🚂ЖД транспорт: Инта, Воркута, Кожва, Усинск, Печора, Лабытнанги, Каджером.  Мебель в"
144,43828,Ешь Деревенское,https://vk.com/eshderevenskoe,"Продукты питания, напитки",Москва,"«Ешь Деревенское» – заботливый онлайн-агрегатор фермерских продуктов с доставкой на дом. Мы объединяем более 230 фермеров и локальных производителей. И доверяем им то, что получается лучше всего — создавать настоящий продукт. А на себя берём контроль качества, логистику и маркетинг.  Мы осуществляе"
145,43826,Саша Шоп | Sadovod 24-97| Носки Колгоки,https://vk.com/maikl_shop,"Одежда, обувь",Москва,
146,43820,Искусственные цветы~ТОЛИК~Садовод 30-75,https://vk.com/club173224241,Бизнес,Москва,4951244013
147,43812,Жетонофф,https://vk.com/jetonoff,Товары для праздников,Краснодар,"«Жетонофф» - жетоны с фото / эмблемой / любыми войскам, наручные часы и другие товары на армейскую и любовную тематику.  Гарантия того, что ваш подарок придется по душе тому, кого вы хотите обрадовать, 100%! Об этом говорят наши отзывы - https://vk.com/topic-137053189_35118464  Для заказа пишите: vk"
148,43799,Иванка - славянская одежда из льна и хлопка,https://vk.com/ivanka.club,"Одежда, обувь",Омск,"Интернет-магазин мужской и женской одежды в русском стиле  * Русская одежда, которой гордишься * Лён и хлопок без синтетики * Обережные узоры, узоры в русском стиле * Оденьте в родную одежду всю семью!  * Традиционные и современные платья * Сарафаны, юбки и блузы в русском стиле * Рубахи и косоворот"
149,43787,TEFIA,https://vk.com/tefiapro,"Парфюмерия, косметика",Москва,"TEFIA — российский бренд профессиональной косметики для волос с итальянскими корнями.  Ассортимент марки включает полноценную коллекцию продуктов для работы парикмахеров в салоне красоты, а также средства для домашнего ухода за волосами.  Стать салоном-партнером Tefia: напишите нам в сообщения сообщ"
150,43780,"кроссовки, спортивная одежда",https://vk.com/chempionsisport,"Одежда, обувь",Кропоткин,"Мы рады, что вы посетили наше сообщество❤️ В каталоге  🗃 https://vk.com/market-90436335 вы можете ознакомиться с нашим ассортиментом. Отправляем Почтой России и СДЭК по всей России и в страны ближнего зарубежья .Так же у нас есть АВИТО ДОСТАВКА !📦Работаем и отправляем из города Кропоткин Краснодарск"
151,43778,Лоскутное шитье с Александрой Беликовой,https://vk.com/i_love_patchwork,Творчество,Волгоград,"ВСЁ, что есть в Клубе, доступно сразу после вступления. Даже новым участницам.  🎄 Годовой проект «Шьём праздник» — классические блоки для большого новогоднего одеяла (3–4 блока в месяц).  📚 Библиотека мастер-классов — уже 10+ блоков и изделия из них (салфетки, грелка на кружку, аппликация на одежду)"
152,43672,Подворье | куры кролики,https://vk.com/oborudovanie_dlya_pticy,Товары для животных,Киров,"Включена Роскомнадзором в перечень персональных страниц: https://gosuslugi.ru/snet/67efd81b7f048f1a6af9371c  🏡 Собственное производство брудеров, клеток, домиков для птиц и кроликов. 🏡 Товары для содержания птиц, коз, овец, лошадей, КРС 🏡 2000+ товаров для хозяев и фермеров.  Вы найдете всё для созд"
153,43630,Перекидные чётки - Chetki handmade,https://vk.com/perekidnyye_chetki,"Украшения, бижутерия ",Москва,Четки на заказ! Перекидные и в машину на зеркало заднего вида.  Почему стоит выбрать нас?  1) Собственное производство. Опыт с 2011 г. Отзывов 1900+  2) Вы можете собрать модель на свой вкус. В вашем распоряжении: - 7 цветов - 5 видов звеньев - 10 форм конечников И всё это можно комбинировать между 
154,43601,Цветобаза | Цветы Ижевск | Доставка,https://vk.com/c_baza,Цветы,Ижевск,"Сеть цветочных магазинов «Цветобаза» предлагает Вашему вниманию всегда свежие цветы и розы, большой выбор горшечных растений с доставкой по г. Ижевску.  В наличии всегда:  — более 3000 роз на каждой Цветобазе🌺  — срезанные цветы: герберы, лилии, хризантема, ирисы, альстромерии, гвоздики и др.🌸  — ра"
155,43554,Курсы шитья | Сумки своими руками,https://vk.com/fleur_d_or,Обучающие курсы,Санкт-Петербург,"«Ты правда сама это сшила?😍» — что слышат мои ученицы   🪡С нуля → к первой дизайнерской сумке за 3 дня   Можно шить на самой обычной швейной машинке, без профильного образования и в любом возрасте!  Я Валентина Букеева — мастер и преподаватель шитья международного уровня  🧷 В 2019 и 2021г Школа полу"
156,43536,Siberina | Российская натуральная косметика,https://vk.com/siberina,"Парфюмерия, косметика",Киров,SIBERINA - НАТУРАЛЬНАЯ КОСМЕТИКА № 1 В РОССИИ  🌿 SIBERINA – НАСТОЯЩАЯ НАТУРАЛЬНАЯ КОСМЕТИКА  Практически все продукты имеют 100% натуральный состав! Богатые насыщенные уникальные натуральные составы. Высокий процент активных ингредиентов. Средства работают по проблемам OZON: https://vk.cc/cWL3k8 WB:
157,43497,ЭЛИС - магазин женской одежды,https://vk.com/garantiy,"Одежда, обувь",Вологда,"Добро пожаловать!  Магазин женской одежды ""ЭЛИС"".  Доставка по городу Вологда, Яндекс такси по их тарифу. Отправка ТК, КС и Почтой по всей России!   ООО ""Элис"" ИНН 3500005725, ОГРН 1243500003691 -----------------------------------------------------------------------  🏡 Магазин ""ЭЛИС"", наш адрес: ул."
158,43439,Супружница | Интернет-магазин длинных платьев,https://vk.com/supruzhnitsa,"Стиль, мода",Псков,"Супружница - магазин женских длинных платьев на каждый день из натуральных и смесовых тканей, которые подчеркивают красоту женской фигуры.  Интересные модели, качественный пошив, низкие цены и помощь нашей команды при выборе наиболее подходящего для вас платья!   ⁃ Размерный ряд от 42 до 56 р  ⁃ Соб"
159,43435,Мужская одежда || 10-57,https://vk.com/optodezd,"Одежда, обувь",,"💡 КАЧЕСТВЕННАЯ МУЖСКАЯ ОДЕЖДА  ТОЛЬКО ОПТОМ 💡 Минималка на отправку от 15000 руб.  🚛 Доставка: ТК (ПЭК, СДЭК, КИТ, Энергия и т.д.), Почта России.  ‼УСЛОВИЯ СОТРУДНИЧЕСТВА ‼ ❗Садовод 10 линия 57 ПАВИЛЬОН❗ ❗ДЛЯ ЗАКАЗ ПИСАТЬ ВК ИЛИ ВАТСАП МАКС ТЕЛЕГРАМ👇 📲 8 965 186 44 29. WhatsApp ❗🚫ВОЗВРАТА И ОБМЕНА Н"
160,43399,Магазин пряжи Филати Клуб / Новосибирск,https://vk.com/filaticlub,Творчество,Новосибирск,"🎉 Скидка 13% на День рождения! 🐠 Всеми любимая акция ""РЫБНЫЙ ЧЕТВЕРГ""! 📦 Оперативная доставка. 📌 Скидки постоянным клиентам 🧶 г. Новосибирск, ТЦ ""Москва"" ул. Крылова, 26, этаж 4  FilatiClub – это не просто магазин пряжи, это вязальное пространство, куда можно прийти за вдохновением, общением и всем "
161,43399,Alize Puffy | мастер-классы | Clouds by Iris,https://vk.com/cloudsbyiris,Другие хобби,,Мастер-классы из Ализе пуффи   Автор проекта Ирина Клют @clouds_by_iris  Ссылка на страницу инстаграмм - https://www.instagram.com/clouds_by_iris/?igshid=1fs1wtewejrqb  Мой канал на YouTube - https://youtube.com/channel/UCVRDCTcruZ2v9kXyd5d7cTg
162,43388,Зоопарк Страна Енотия | Красноярск,https://vk.com/zoo.krsk,Домашние и дикие животные,Красноярск,"Что вы знаете о животных? Что заставляет их радоваться или грустить? Бывает ли им скучно? А может быть их, как и нас с вами, одолевает безудержное веселье? Страна Енотия - это место, где мы можем узнать представителей живой природы лучше и научиться с ними взаимодействовать! Приходите устанавливать "
163,43360,КУКМОР / КУПЛЯ / ПРОДАЖА / ОБМЕН ²⁰²⁶,https://vk.com/kukmor_selling,Объявления,Кукмор,"Номер заявки в РКН: № 4976691782  Группа создана 05 июля 2011г. ПРАВИЛА ГРУППЫ: ✔Некорректные Объявления о ПРОДАЖЕ: без ЦЕНЫ в рублях (договорная, не дорого,дешево, почти бесплатно и подобное - НЕ используем!)и без НОМЕРА ТЕЛЕФОНА будут удалены и внесены в ⛔ ЧЕРНЫЙ СПИСОК ⛔ !!!!!! Так же ЗАПРЕЩЕНО: "
164,43348,Вязаные игрушки и МК от helena_toys_d,https://vk.com/helena_toys_d,Творчество,,"4900608278 Вязаные игрушки Мастер-Классы Амигуруми. ✨Создала более 50 подробных мастер-классов,по которым вяжут в разных уголках мира🌍"
165,43333,Маргарита Соколова | Энергия творчества,https://vk.com/i_lovehandmade,Творчество,Самара,"Здесь я делюсь своей «Энергией творчества». Мой блог (ранее I love handmade) — это про уют, авторские идеи и радость созидания своими руками. Блог о ручной работе, который вдохновляет тысячи сердец."
166,43312,Евгения Ваш Обучение Украшения из фоамирана,https://vk.com/evgenia_vash,Обучающие курсы,Тверь,"✅ Мастер-классы по созданию цветов и украшений из фоамирана - преимущественно без спец. покупных инструментов! Обучение подходит и начинающим Мастерам.  ✅ Посмотрите раздел ""товары"" - все это (более 300 МК) вам откроется автоматически после оформлении Подписки. ✅ Цена вопроса - 390 руб. в месяц.  ✅ "
167,43273,"Мебель Град (Архангельск, Северодвинск)",https://vk.com/moydom29,Товары для дома,Архангельск,"""Мебель Град"" более 25 лет на рынке Представляем широкий ассортимент корпусной мебели от производителей России.   Собственное производство мебели по индивидуальным проектам.  Помощь в подборе мебели на дому у заказчика. Бесплатный выезд дизайнера и консультация.  Доставка, подъём  и сборка мебели.  "
168,43271,Натуральные камни: браслеты колье серьги четки,https://vk.com/natur_braslet_nn,"Украшения, бижутерия ",Нижний Новгород,"Мы занимаемся изготовлением и продажей браслетов, колье, чёток исключительно из натуральных камней. Все изделия ручной работы.   Подбор камней абсолютно бесплатно!  Так же изготавливаем уникальные серёжки с натуральными камнями!    Возможно изготовление изделия по вашим пожеланиям  (поставим любые к"
169,43260,"С Днём рождения, открытки, пожелания",https://vk.com/club223395885,Городское сообщество,,"Регистрация в перечне РКН: https://gosuslugi.ru/snet/67aa44c7962afd032d7ff673  Добро пожаловать! Открытки с поздравлениями и пожеланиями  для ваших родных и близких друзей! Красивые открытки с пожеланиями Открытки  с пожеланиями, картинки, видео Коллекция поздравлений на праздники, дни рождения и да"
170,43249,VALIANT,https://vk.com/valiant,Дизайн интерьера,,"Поможем сделать ваш интерьер неповторимым. 👉 Посетите наш сайт и выберите идеальные комплекты аксессуаров для дома.  ✨ Широкий ассортимент поможет вам оформить квартиру в едином стиле, подчеркнуть индивидуальность и придать интерьеру особый шарм.   Независимо от того, какой у вас интерьер - от совре"
171,43245,"Аксессуар кожгалантерея, ремни сумки |ТЦ Садовод",https://vk.com/sadovod_watch,"Одежда, обувь",Москва,"Интернет-магазин часов и ремней ""Dealer Shop"" Оптом и  в розницу  УСЛОВИЯ СОТРУДНИЧЕСТВА  Наши контактные группа vk.com/sadovod_watch Заказы принимаются на What'sApp +79065726188 +79162583637 vk.com/id535895751 и vk.com/id449960156  Мы находимся по адресу: ТЦ САДОВОД  Корпус А 1-2-13  Как оформить з"
172,43223,24-82 Женская одежда оптом и в розниц ТК Садовод,https://vk.com/zenski_odezd,"Одежда, обувь",Москва,"Добро пожаловать! Поставщик женской одежды оптом и в розницу!  Качественная - фабричная женская одежда без посредников.  💰 У нас самые ВЫГОДНЫЕ цены!  🛒 Оптом и в розницу.  📦 Доставка любой ТК, автобусами, почтой. Минимальный заказ - от 2000 рублей.  ✨ Всегда в наличии: кофты, платья, футболки, спор"
173,43186,FOLKLORICA | Одежда с фольклором,https://vk.com/folklorica,"Одежда, обувь",,"Мы собираем все популярные образы северного фольклора и хотим запечатлеть их на повседневной одежде.  Цель нашего бренда - привнести частичку северной магии в Вашу повседневную жизнь и уйти от стереотипного видения северного фольклора.  Такие вещи может носить каждый, даже не близкий к этой культуре"
174,43126,"Громада, МебельВилль, сеть мебельных салонов",https://vk.com/gromadamv,Мебель,Кемерово,"👉Сеть мебельных Сеть мебельных салонов Громада и МебельВилль работает на мебельном рынке Сибири более 35 лет. За это время мы открыли 29 салона в 17 городах.  Наша сеть – крупнейшая во всей Западной Сибири! Мы предлагаем мебель, которая предназначена для покупателей, ориентированных не только на цен"
175,43123,ОХОТНИЧЬЯ БАРАХОЛКА • RED MOOSE • ОХОТА,https://vk.com/red_moose,Охота,Москва,"Охотничья барахолка RED MOOSE. Частные объявления по продаже охотничьего снаряжения по России.  - Охотничье снаряжение  - Пневматика - Охотничьи собаки - Оружейный ЗИП  Объявления можно размещать на стене группы, ознакомившись с правилами! https://vk.com/@red_moose-pravila-gruppy Размещенные объявле"
176,43078,Турклуб ГОРА. Походы и путешествия!,https://vk.com/gora_club,Активный отдых,Пермь,"Мы - Полина и Андрей. Познакомились в спальнике и создали турклуб (и семью).   С 2015 года делаем туры в горы и заботимся о каждом вашем шаге.   Расписание наших туров: gora-club.ru/travel/  Отвечаем на любые ваши вопросы: ПН-ПТ с 9:00 до 18:00 (время Московское)  Подписывайся, чтобы стать частью на"
177,43056,~УРАЛЬСКИЙ КЛУБ РЫБАЛКИ~,https://vk.com/ural_club.fishing,Рыбалка,Екатеринбург,"~Уральский Клуб Рыбалки ~  Это Активный отдых,совместные выезды,соревнования,фестивали,семейный отдых! Видео-Фото отчёты и многое другое. Дружный Коллектив,позитивное общение и тёплая обстановка Добро Пожаловать к нам!"
178,42998,Цветы Москва Доставка Цветов в Москве Она Хочет,https://vk.com/onahochet_moscow,Цветы,Москва,"🌹 ЦВЕТЫ | Доставка по Москве за 1 час   Хотите порадовать близкого человека, сделать сюрприз или подобрать букет для важного события?  Мы создаём стильные композиции из свежих цветов и доставляем их в течение 1 часа по Москве!  ПОЧЕМУ ВЫБИРАЮТ НАС?  1) Только свежие цветы премиум-качества. 2) Фото б"
179,42969,Сеть магазинов «BROOKS`S» мужские костюмы,https://vk.com/brookss.shop,"Одежда, обувь",Москва,"Федеральная сеть магазинов мужских костюмов! Наши магазины представлены в 15 городах России! Мы знаем всё об элегантном костюме и безупречном сервисе. • Мужские костюмы, обувь и аксессуары. • Премиальные материалы и качество пошива. • Широкий ассортимент. • Индивидуальный подшив и подгонка по фигуре"
180,42906,2А-54 корпус А Садовод,https://vk.com/aminalux,"Одежда, обувь",Москва,"Условия сотрудничества и полезная информация:  Занимаемся оптовой и розничной торговлей.  Мы находимся по адресу: тц садовод, 2А-54 корпус а.  Как оформить заказ?  Отправьте в личные сообщения фото вещей с размерами.  Мы уточняем по наличию и считаем сумму заказа.  Вы оплачиваете, мы отправляем по п"
